UID,Name,Age,Position(s),Foot,Height (CM),Weight (KG),International Caps,International Goals,Club,Sell value (€),Wages (€),Contract expiration (year),Aerial Reach,Command of Area,Communication,Eccentricity,First Touch,Handling,Kicking,One on Ones,Passing,Punching (Tendency),Reflexes,Rushing Out (Tendency),Throwing,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off the Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Free Kick Taking,Penalty Taking,Technique,Rel. clause (€),CA,PA
11133,Gianluigi Buffon,44,GK,Right,192.0,83.0,176.0,0.0,Parma,,30240.0,2.0,12.0,18.0,15.0,16.0,7,12.0,10.0,12.0,8,17.0,11.0,10.0,10.0,5,12,13,15,14,17,20,12,20,5,16,15,7,10,4,6,10,13,20,5,7,11,3,4,7,,60.0,97.0
8718372,Manuel Neuer,36,GK,Right,193.0,93.0,112.0,0.0,FC Bayern,,326050.0,2.0,16.0,16.0,20.0,18.0,12,14.0,18.0,15.0,15,8.0,15.0,20.0,17.0,13,14,14,20,14,14,18,12,17,13,16,12,15,12,11,13,14,18,19,11,12,16,8,13,12,,84.0,97.0
35017428,Marc-André ter Stegen,30,GK,Right,187.0,85.0,28.0,0.0,FC Barcelona,,165010.0,3.0,13.0,15.0,18.0,12.0,13,14.0,19.0,14.0,17,10.0,18.0,18.0,17.0,11,17,15,18,15,13,18,5,14,2,12,14,9,10,14,14,16,16,15,11,13,15,7,7,14,500035600.0,87.0,92.0
18026122,Thibaut Courtois,30,GK,Left,199.0,96.0,94.0,0.0,Real Madrid,,296070.0,4.0,20.0,16.0,12.0,5.0,10,16.0,16.0,18.0,13,6.0,19.0,12.0,15.0,8,15,15,12,16,16,16,14,13,2,16,14,9,11,12,13,14,18,12,11,8,14,7,2,12,700049850.0,91.0,91.0
19058734,Alisson,29,GK,Right,191.0,91.0,55.0,0.0,Liverpool,,220400.0,5.0,15.0,13.0,15.0,12.0,15,16.0,15.0,18.0,14,14.0,17.0,16.0,14.0,12,17,14,17,15,16,19,13,11,11,18,11,11,17,13,16,16,14,17,13,12,15,2,5,14,,88.0,90.0
55057659,Ederson,28,GK,Left,188.0,86.0,18.0,0.0,Manchester City,,208800.0,4.0,13.0,16.0,20.0,15.0,14,16.0,20.0,13.0,18,6.0,14.0,17.0,17.0,12,17,18,20,16,15,16,1,7,15,13,14,17,13,14,13,13,13,15,13,14,13,8,12,17,,88.0,90.0
64016316,Jan Oblak,29,GK,Right,189.0,84.0,50.0,0.0,Atlético Madrid,,356150.0,6.0,15.0,15.0,17.0,4.0,12,18.0,16.0,16.0,14,9.0,19.0,15.0,14.0,8,11,13,17,16,16,15,15,11,2,16,13,8,13,11,13,13,13,9,13,13,13,8,12,11,120008550.0,86.0,89.0
67030171,David De Gea,31,GK,Right,192.0,76.0,45.0,0.0,Manchester United,83941850.0,435000.0,1.0,16.0,8.0,9.0,6.0,13,16.0,14.0,14.0,7,10.0,19.0,3.0,8.0,5,14,11,9,12,13,16,5,14,10,15,9,5,12,13,17,12,15,17,13,13,13,9,2,8,,73.0,89.0
43252073,Gianluigi Donnarumma,23,GK,Right,196.0,90.0,46.0,0.0,Paris Saint-Germain,,249330.0,4.0,16.0,14.0,14.0,9.0,7,15.0,13.0,16.0,7,14.0,18.0,11.0,12.0,8,16,16,14,14,15,15,6,14,2,15,15,8,13,10,16,16,18,15,11,15,16,1,6,6,,81.0,89.0
6701096,Pepe Reina,39,GK,Right,188.0,92.0,36.0,0.0,Villarreal,508840.0,17570.0,1.0,11.0,16.0,16.0,13.0,10,13.0,18.0,13.0,13,13.0,13.0,18.0,18.0,10,18,13,16,10,12,20,7,17,3,12,14,14,14,8,8,12,14,20,9,13,13,8,6,12,9746010.0,68.0,88.0
